custentity_hs_vid,salesreadines,buyingtimeframe,buyingreason,Projected Value
228396801,,,,"$15,000 - $29,000"
230001451,,,,"$39,000 - $44,000"
229978901,,,,"$78,000 - $107,000"
231287151,,,,"$15,000 - $29,000"
230322451,,,,"$50,000 - $65,000"
228286001,Cold,,,
230524951,,,,"$50,000 - $65,000"
229175301,,,,"$15,000 - $29,000"
229654301,,,,"$15,000 - $29,000"
230954601,,,,"$15,000 - $29,000"
229045001,,,,"$15,000"
229691651,,,,"$15,000"
229520151,,,,"$50,000 - $65,000"
228495651,,,,"$15,000 - $29,000"
230719101,,,,"$15,000 - $29,000"
230951801,,,,"$15,000 - $29,000"
229962101,,,,"$15,000 - $29,000"
230905601,,,,"$39,000 - $44,000"
229043301,,,,"$15,000 - $29,000"
228410201,,,,"> $200,000"
229808251,,,,"$15,000 - $29,000"
230216051,,,,"$15,000 - $29,000"
230003301,,,,"$39,000 - $44,000"
228265801,,,,"$39,000 - $44,000"
229479551,,,,"$50,000 - $65,000"
230086501,,,,"$15,000 - $29,000"
228361801,,,,"$39,000 - $44,000"
231294751,,,,"$39,000 - $44,000"
229398651,,,,"$78,000 - $107,000"
228338501,,,,"$15,000 - $29,000"
230562151,,,,"$15,000 - $29,000"
230853401,,,,"$50,000 - $65,000"
231263251,,,,"$15,000 - $29,000"
228660351,,,,"$15,000"
229893201,,,,"$78,000 - $107,000"
230647901,,,,"> $200,000"
229129551,,,,"$50,000 - $65,000"
231046701,,,,"$15,000 - $29,000"
228937551,,,,"$15,000"
229499201,,,,"$78,000 - $107,000"
230283351,,,,"$15,000 - $29,000"
230839351,,,,"$15,000"
231810001,,,,"$15,000 - $29,000"
233278951,,,,"$15,000 - $29,000"
233681901,,,,"$15,000 - $29,000"
234372601,,,,"> $200,000"
233907701,,,,"$15,000"
231501001,,,,"$15,000 - $29,000"
233060351,,,,"$15,000 - $29,000"
233931501,,,,"$39,000 - $44,000"
231414251,,,,"$15,000 - $29,000"
233817551,,,,"$39,000 - $44,000"
232637951,,,,"$15,000 - $29,000"
232273651,,,,"$39,000 - $44,000"
232438001,,,,"$39,000 - $44,000"
233126601,,,,"$39,000 - $44,000"
234224601,,,,"$15,000"
233579201,,,,"$15,000"
233613251,,,,"$15,000 - $29,000"
233764801,,,,"$50,000 - $65,000"
232359401,,,,"$15,000"
233984451,,,,"> $200,000"
231556351,,,,"$50,000 - $65,000"
233799901,,,,"$15,000"
234515401,,,,"$15,000 - $29,000"
232916951,,,,"$15,000 - $29,000"
232491501,,,,"$15,000"
233262801,,,,"$39,000 - $44,000"
233155551,,,,"$15,000 - $29,000"
232919001,,,,"$78,000 - $107,000"
232161001,,,,"$15,000 - $29,000"
232983201,,,,"$39,000 - $44,000"
233691051,,,,"$15,000 - $29,000"
232185501,,,,"$15,000 - $29,000"
233016751,,,,"$15,000"
234211001,,,,"$50,000 - $65,000"
233328551,,,,"$15,000 - $29,000"
231772801,,,,"$50,000 - $65,000"
233786301,,,,"$15,000 - $29,000"
234045601,,,,"$15,000 - $29,000"
234312101,,,,"$15,000 - $29,000"
232356751,,,,"$15,000 - $29,000"
233340351,,,,"$15,000 - $29,000"
234098601,,,,"$15,000 - $29,000"
231364501,,,,"$15,000 - $29,000"
231761551,,,,"$39,000 - $44,000"
232899201,,,,"$15,000 - $29,000"
234209951,,,,"$15,000"
234203801,,,,"$15,000"
232988051,Warm,,,
232968851,,,,"$15,000 - $29,000"
233154451,,,,"$50,000 - $65,000"
232881051,,,,"$39,000 - $44,000"
231897001,,,,"$15,000"
233580951,,,,"$39,000 - $44,000"
233147801,Warm,,,
232883301,Warm,,,
232525401,,,,"$15,000 - $29,000"
231357251,,,,"$15,000"
234376051,,,,"$50,000 - $65,000"
232096601,,,,"$78,000 - $107,000"
231737951,,,,"$15,000"
231907651,,,,"$50,000 - $65,000"
232210501,,,,"$50,000 - $65,000"
233151351,,,,"$15,000 - $29,000"
232709451,,,,"$15,000 - $29,000"
232765001,,,,"$39,000 - $44,000"
232419651,,,,"$15,000 - $29,000"
231480151,,,,"$39,000 - $44,000"
233144901,,,,"$39,000 - $44,000"
232240501,,,,"$50,000 - $65,000"
231564651,,,,"$15,000 - $29,000"
231796601,,,,"$15,000"
232456051,,,,"$15,000"
231612001,,,,"$15,000"
232941901,,,,"$50,000 - $65,000"
231627901,,,,"$15,000 - $29,000"
232394601,,,,"$15,000"
234021451,,,,"$15,000"
234234701,,,,"$15,000"
231448951,,,,"$15,000"
234414151,,,,"$15,000 - $29,000"
232214551,,,,"$78,000 - $107,000"
234146101,,,,"$39,000 - $44,000"
234478901,,,,"$50,000 - $65,000"
232204801,,,,"$15,000 - $29,000"
232915001,,,,"$15,000 - $29,000"
232253751,,,,"$15,000"
234475801,,,,"$15,000"
231383851,,,,"$15,000"
232392251,,,,"$15,000 - $29,000"
234243601,,,,"$15,000 - $29,000"
231693351,,,,"$15,000"
232208701,,,,"$39,000 - $44,000"
233397251,,,,"$50,000 - $65,000"
234448151,,,,"$39,000 - $44,000"
233873951,,,,"$15,000 - $29,000"
233210901,,,,"$39,000 - $44,000"
234408451,,,,"$39,000 - $44,000"
233564951,,,,"$15,000"
234527751,,,,"$50,000 - $65,000"
231413301,,,,"$15,000 - $29,000"
235091201,,,,"$50,000 - $65,000"
235485701,,,,"$39,000 - $44,000"
237049901,,,,"$50,000 - $65,000"
237606951,,,,"$15,000"
235417351,,,,"$39,000 - $44,000"
235531551,,,,"$39,000 - $44,000"
235286801,,,,"$50,000 - $65,000"
236358401,,,,"$50,000 - $65,000"
236193801,,,,"$15,000 - $29,000"
237623351,,,,"$39,000 - $44,000"
236017201,,,,"$39,000 - $44,000"
237684751,,,,"$39,000 - $44,000"
235742251,,,,"$15,000"
235341101,,,,"$15,000"
235565601,,,,"$15,000 - $29,000"
235686951,,,,"$15,000 - $29,000"
237394701,,,,"$15,000 - $29,000"
235759651,,,,"$15,000 - $29,000"
235801151,,,,"$39,000 - $44,000"
235385651,,,,"$50,000 - $65,000"
237225751,,,,"$15,000 - $29,000"
235338801,,,,"$39,000 - $44,000"
236633901,,,,"$15,000 - $29,000"
235001401,Warm,,,
236843301,,,,"$39,000 - $44,000"
236572451,,,,"$39,000 - $44,000"
236316201,,,,"$15,000 - $29,000"
236757851,,,,"$15,000"
236907351,,,,"$50,000 - $65,000"
237002601,,,,"$15,000 - $29,000"
236500051,,,,"$15,000 - $29,000"
237091951,,,,"$15,000 - $29,000"
236924751,,,,"$50,000 - $65,000"
234649001,,,,"$15,000"
234921301,,,,"$15,000 - $29,000"
235834201,,,,"$15,000 - $29,000"
237761651,,,,"$15,000 - $29,000"
236101451,,,,"$15,000 - $29,000"
236987001,,,,"$15,000 - $29,000"
237823601,,,,"$39,000 - $44,000"
236803651,,,,"$15,000"
235057501,,,,"$78,000 - $107,000"
236072051,,,,"$15,000 - $29,000"
237025601,,,,"$15,000"
237413701,,,,"$15,000"
237801551,,,,"$15,000 - $29,000"
236884601,,,,"$39,000 - $44,000"
237290051,,,,"$15,000 - $29,000"
235756901,,,,"$15,000 - $29,000"
234846101,,,,"$39,000 - $44,000"
235285101,,,,"$15,000"
236543351,,,,"$15,000"
235210101,,,,"$15,000"
235242101,,,,"$15,000 - $29,000"
235084401,,,,"$39,000 - $44,000"
235757951,,,,"$15,000 - $29,000"
237144401,,,,"$15,000"
236029801,,,,"$15,000 - $29,000"
236584801,,,,"$15,000"
236463201,,,,"$15,000"
235565451,,,,"$15,000 - $29,000"
234978951,,,,"$15,000 - $29,000"
237463201,,,,"$15,000 - $29,000"
234942601,,,,"$39,000 - $44,000"
237551801,,,,"> $200,000"
234847851,,,,"$50,000 - $65,000"
236175751,,,,"$50,000 - $65,000"
234700651,,,,"$39,000 - $44,000"
235470751,,,,"$39,000 - $44,000"
235716251,,,,"$39,000 - $44,000"
235526801,,,,"$15,000 - $29,000"
234901401,,,,"$39,000 - $44,000"
236188301,,,,"$50,000 - $65,000"
236555451,,,,"$15,000 - $29,000"
235583401,,,,"$15,000 - $29,000"
234951851,,,,"$15,000 - $29,000"
235526051,,,,"$15,000 - $29,000"
236540851,,,,"$50,000 - $65,000"
237182351,,,,"$15,000 - $29,000"
237517701,,,,"$15,000 - $29,000"
237148051,,,,"$177,000 - $200,000"
237476501,,,,"$15,000 - $29,000"
236528301,,,,"$39,000 - $44,000"
234702151,,,,"$15,000 - $29,000"
235340751,,,,"$39,000 - $44,000"
237265901,,,,"$50,000 - $65,000"
234730801,,,,"$15,000 - $29,000"
235650501,,,,"$15,000 - $29,000"
236531401,,,,"$39,000 - $44,000"
237662201,,,,"$15,000 - $29,000"
236254401,,,,"$15,000"
237476351,,,,"> $200,000"
237030651,,,,"$50,000 - $65,000"
235688401,,,,"$50,000 - $65,000"
237115901,,,,"$15,000"
236062451,,,,"$15,000 - $29,000"
235348451,,,,"$15,000 - $29,000"
234604051,,,,"> $200,000"
236312301,,,,"$50,000 - $65,000"
236115951,,,,"$15,000 - $29,000"
238270001,,,,"$15,000 - $29,000"
238462001,,,,"$39,000 - $44,000"
240595551,,,,"$15,000 - $29,000"
240203101,,,,"$15,000 - $29,000"
240091201,,,,"$15,000"
239421002,,,,"$39,000 - $44,000"
239995201,,,,"$15,000"
238518051,,,,"$15,000 - $29,000"
238072101,,,,"> $200,000"
239620701,,,,"$39,000 - $44,000"
238264101,,,,"$39,000 - $44,000"
240253001,,,,"$15,000 - $29,000"
238216751,,,,"$15,000 - $29,000"
239736151,,,,"$15,000"
239452251,,,,"$15,000 - $29,000"
240521801,,,,"$15,000 - $29,000"
239379301,,,,"$39,000 - $44,000"
240618101,,,,"$39,000 - $44,000"
238420501,,,,"$39,000 - $44,000"
239308651,,,,"$15,000 - $29,000"
238570001,,,,"$50,000 - $65,000"
238648851,,,,"$15,000 - $29,000"
238806801,Warm,,,
239193451,,,,"$15,000 - $29,000"
239680101,,,,"$78,000 - $107,000"
238574601,,,,"$50,000 - $65,000"
238175751,,,,"$15,000 - $29,000"
240027001,,,,"$15,000 - $29,000"
237895701,,,,"$15,000 - $29,000"
240652901,,,,"$50,000 - $65,000"
239045501,,,,"$15,000 - $29,000"
239828751,,,,"$15,000 - $29,000"
239860751,,,,"$15,000 - $29,000"
240104201,,,,"$15,000"
239417101,,,,"$15,000"
240583451,,,,"> $200,000"
240347401,,,,"$15,000 - $29,000"
239237401,,,,"$15,000 - $29,000"
238043501,,,,"$15,000 - $29,000"
240722951,,,,"$15,000 - $29,000"
240307251,,,,"$15,000 - $29,000"
238084951,,,,"$15,000 - $29,000"
238456401,,,,"$15,000 - $29,000"
238195551,,,,"$39,000 - $44,000"
239219251,,,,"$15,000 - $29,000"
240401701,,,,"$50,000 - $65,000"
240258351,,,,"$15,000 - $29,000"
239475001,,,,"$50,000 - $65,000"
238311601,,,,"$39,000 - $44,000"
238257851,,,,"$39,000 - $44,000"
240272601,,,,"$15,000"
240032451,,,,"$15,000 - $29,000"
238638251,,,,"$15,000 - $29,000"
238438051,,,,"$50,000 - $65,000"
240587201,,,,"$39,000 - $44,000"
240390851,,,,"$50,000 - $65,000"
238894501,,,,"$15,000 - $29,000"
237976501,,,,"$15,000"
239039651,,,,"$15,000"
239886801,,,,"$15,000 - $29,000"
238514601,,,,"$39,000 - $44,000"
239250405,,,,"$15,000"
238316701,,,,"$39,000 - $44,000"
240099301,,,,"$15,000 - $29,000"
239326701,,,,"$15,000 - $29,000"
240296701,,,,"$15,000 - $29,000"
237907101,,,,"$39,000 - $44,000"
239234801,,,,"$15,000 - $29,000"
239603451,,,,"$39,000 - $44,000"
238409601,,,,"$15,000"
239202551,,,,"$15,000 - $29,000"
238404751,,,,"$15,000 - $29,000"
239080701,,,,"$15,000 - $29,000"
237990801,,,,"$15,000"
237950701,,,,"$50,000 - $65,000"
238061301,,,,"$15,000"
239416451,,,,"$15,000 - $29,000"
239241101,,,,"$15,000 - $29,000"
238115301,,,,"$15,000 - $29,000"
238303201,,,,"$15,000 - $29,000"
238985451,,,,"$39,000 - $44,000"
238230501,,,,"$15,000 - $29,000"
239255701,,,,"$39,000 - $44,000"
239752851,,,,"$15,000 - $29,000"
237924301,,,,"$39,000 - $44,000"
239788201,,,,"$39,000 - $44,000"
237830601,,,,"$15,000 - $29,000"
240263351,,,,"$39,000 - $44,000"
238986201,Warm,,,
240718001,,,,"$50,000 - $65,000"
239063251,,,,"$50,000 - $65,000"
240012451,,,,"$15,000 - $29,000"
237905601,,,,"$39,000 - $44,000"
239209901,,,,"$50,000 - $65,000"
239825851,,,,"$15,000 - $29,000"
239962301,,,,"$15,000"
240336801,,,,"$15,000 - $29,000"
238807501,,,,"$15,000 - $29,000"
240022201,,,,"$39,000 - $44,000"
239318201,,,,"$39,000 - $44,000"
243079801,,,,"$39,000 - $44,000"
242328951,,,,"$39,000 - $44,000"
243508101,,,,"$106,000 - $140,000"
241425001,,,,"$15,000 - $29,000"
243544201,,,,"$15,000 - $29,000"
242534501,,,,"$15,000 - $29,000"
240867401,,,,"> $200,000"
243022702,,,,"$15,000 - $29,000"
240763201,,,,"$39,000 - $44,000"
240858951,,,,"$15,000 - $29,000"
241377151,,,,"$15,000 - $29,000"
241416001,,,,"$50,000 - $65,000"
241153401,,,,"$15,000"
243299751,,,,"$15,000 - $29,000"
242055751,,,,"$15,000 - $29,000"
242269251,,,,"$15,000 - $29,000"
240972901,,,,"$50,000 - $65,000"
242620751,,,,"$15,000 - $29,000"
243105601,,,,"$39,000 - $44,000"
242842951,,,,"$15,000 - $29,000"
241713751,,,,"$50,000 - $65,000"
240743451,,,,"$39,000 - $44,000"
242272051,,,,"$15,000 - $29,000"
241240101,,,,"$15,000 - $29,000"
241532451,,,,"$39,000 - $44,000"
243729601,,,,"$50,000 - $65,000"
240754451,,,,"$39,000 - $44,000"
241055251,,,,"$15,000 - $29,000"
242262051,,,,"$15,000"
240857101,,,,"$15,000 - $29,000"
243389401,,,,"$15,000 - $29,000"
241068801,,,,"$15,000"
241580601,,,,"$15,000 - $29,000"
242230801,,,,"$15,000 - $29,000"
241629701,,,,"$39,000 - $44,000"
243164701,,,,"$15,000 - $29,000"
241698051,,,,"$15,000 - $29,000"
240945201,,,,"$15,000 - $29,000"
242229251,,,,"$15,000 - $29,000"
243816701,,,,"$39,000 - $44,000"
241528851,,,,"$15,000 - $29,000"
243144201,,,,"$50,000 - $65,000"
241558301,,,,"$15,000 - $29,000"
241744401,,,,"$39,000 - $44,000"
241740051,,,,"$39,000 - $44,000"
242013201,,,,"$15,000 - $29,000"
242788101,,,,"$15,000 - $29,000"
241149151,,,,"$15,000"
243714051,,,,"$15,000 - $29,000"
243387401,,,,"$15,000 - $29,000"
242238201,,,,"$15,000"
243408651,,,,"$15,000 - $29,000"
241336051,,,,"$15,000 - $29,000"
242590951,,,,"$50,000 - $65,000"
242674401,,,,"$15,000 - $29,000"
242178551,,,,"$15,000 - $29,000"
241451001,,,,"$15,000 - $29,000"
241314301,,,,"$39,000 - $44,000"
242234351,,,,"$15,000 - $29,000"
242325201,,,,"$15,000"
241489351,,,,"$15,000 - $29,000"
243263452,,,,"$39,000 - $44,000"
243273251,,,,"$50,000 - $65,000"
243803951,,,,"$39,000 - $44,000"
241544401,,,,"$39,000 - $44,000"
241763551,,,,"$39,000 - $44,000"
241433051,,,,"$39,000 - $44,000"
240950501,,,,"$50,000 - $65,000"
241512101,,,,"$50,000 - $65,000"
242318001,,,,"$50,000 - $65,000"
242729651,,,,"$15,000"
242736051,,,,"$39,000 - $44,000"
241105051,,,,"$15,000"
243247801,,,,"$15,000 - $29,000"
241768101,,,,"$15,000 - $29,000"
241761701,,,,"$15,000 - $29,000"
241695401,,,,"$15,000 - $29,000"
243538251,,,,"$39,000 - $44,000"
242333601,,,,"$39,000 - $44,000"
243107501,Hot,,,"$15,000 - $29,000"
243606101,,,,"$15,000 - $29,000"
240784001,,,,"$15,000 - $29,000"
241699251,,,,"$39,000 - $44,000"
241649851,,,,"$39,000 - $44,000"
242482351,,,,"$15,000 - $29,000"
242234001,,,,"$39,000 - $44,000"
242636951,,,,"$78,000 - $107,000"
243319651,,,,"$15,000 - $29,000"
241033401,,,,"$50,000 - $65,000"
241267601,,,,"$15,000 - $29,000"
242094751,,,,"$15,000 - $29,000"
243209101,,,,"$15,000"
241890201,,,,"$15,000 - $29,000"
242498951,,,,"$15,000 - $29,000"
241159851,,,,"$39,000 - $44,000"
241395351,,,,"$15,000 - $29,000"
243408251,,,,"$50,000 - $65,000"
242353801,,,,"$39,000 - $44,000"
243049601,,,,"$15,000"
240859301,,,,"$15,000"
245177501,,,,"$15,000 - $29,000"
245358751,,,,"$15,000 - $29,000"
243857801,Warm,,,
244721301,,,,"$39,000 - $44,000"
245686951,,,,"$15,000 - $29,000"
244934301,,,,"$50,000 - $65,000"
244883101,,,,"$15,000 - $29,000"
247224251,,,,"$15,000 - $29,000"
245712301,,,,"$106,000 - $140,000"
246709951,,,,"$15,000 - $29,000"
246992051,,,,"$15,000 - $29,000"
244443551,,,,"$15,000 - $29,000"
245577651,,,,"$39,000 - $44,000"
247092651,,,,"$78,000 - $107,000"
245306251,,,,"$15,000"
245750451,,,,"$15,000"
246518701,,,,"$50,000 - $65,000"
244805301,,,,"$50,000 - $65,000"
245705351,,,,"$15,000"
244756401,,,,"$50,000 - $65,000"
246817951,,,,"$15,000 - $29,000"
247379351,,,,"$106,000 - $140,000"
246707102,,,,"$15,000 - $29,000"
244061601,,,,"$39,000 - $44,000"
244604601,,,,"$39,000 - $44,000"
247228051,,,,"$39,000 - $44,000"
244680101,,,,"$106,000 - $140,000"
246177951,,,,"$50,000 - $65,000"
243859901,,,,"$15,000 - $29,000"
244379301,,,,"$15,000 - $29,000"
245367701,,,,"$39,000 - $44,000"
244652451,,,,"$15,000 - $29,000"
245591451,,,,"$15,000 - $29,000"
243962551,,,,"$106,000 - $140,000"
244658901,,,,"$15,000 - $29,000"
245068251,,,,"$15,000 - $29,000"
246362351,,,,"$15,000"
244315851,,,,"$39,000 - $44,000"
247127551,,,,"$15,000"
244042701,,,,"$15,000 - $29,000"
247309051,,,,"$39,000 - $44,000"
245652451,,,,"$15,000 - $29,000"
246805501,,,,"$15,000 - $29,000"
245320401,,,,"$15,000 - $29,000"
244738501,,,,"$15,000 - $29,000"
245145551,,,,"$15,000 - $29,000"
245109701,,,,"$15,000 - $29,000"
244765901,,,,"$39,000 - $44,000"
244194001,,,,"$50,000 - $65,000"
245147901,,,,"$39,000 - $44,000"
244408051,,,,"$15,000 - $29,000"
245050851,,,,"$15,000 - $29,000"
246688201,,,,"$39,000 - $44,000"
246863051,,,,"$15,000 - $29,000"
246483001,,,,"$50,000 - $65,000"
243856901,,,,"$15,000 - $29,000"
245781801,,,,"$15,000"
246602301,Warm,,,"$50,000 - $65,000"
247206451,,,,"$15,000 - $29,000"
244362501,,,,"$39,000 - $44,000"
246722351,,,,"$50,000 - $65,000"
245928201,,,,"$39,000 - $44,000"
244045101,,,,"$15,000 - $29,000"
244614201,,,,"$15,000 - $29,000"
246671901,,,,"$39,000 - $44,000"
245687051,,,,"$15,000"
246315551,,,,"$39,000 - $44,000"
243973951,,,,"$15,000"
245910301,,,,"$15,000 - $29,000"
247338251,,,,"$50,000 - $65,000"
246924301,,,,"$50,000 - $65,000"
243962701,,,,"$39,000 - $44,000"
244864351,,,,"$15,000 - $29,000"
246699901,,,,"$15,000 - $29,000"
247084401,,,,"$15,000"
245435252,,,,"$39,000 - $44,000"
244492101,,,,"$15,000 - $29,000"
244026451,,,,"$15,000 - $29,000"
244835151,,,,"$15,000"
247270501,,,,"$39,000 - $44,000"
247108451,,,,"$15,000"
246079601,,,,"$39,000 - $44,000"
244034901,,,,"$15,000 - $29,000"
244387151,,,,"$15,000 - $29,000"
246365553,,,,"$39,000 - $44,000"
244822901,,,,"$15,000 - $29,000"
245317501,,,,"$15,000 - $29,000"
245765701,,,,"$15,000 - $29,000"
244948351,,,,"$39,000 - $44,000"
246733651,,,,"$15,000 - $29,000"
245204851,,,,"$15,000"
245309551,,,,"$15,000 - $29,000"
245568851,Cold,,,
244193151,,,,"$39,000 - $44,000"
246182751,,,,"$50,000 - $65,000"
244897901,,,,"$15,000 - $29,000"
246767951,,,,"$39,000 - $44,000"
246735951,,,,"$39,000 - $44,000"
245529951,,,,"$39,000 - $44,000"
246441551,,,,"$39,000 - $44,000"
248607701,,,,"$39,000 - $44,000"
248951251,,,,"$177,000 - $200,000"
247450551,,,,"$15,000 - $29,000"
250497251,,,,"$15,000"
250500351,,,,"$15,000"
249003201,,,,"$15,000 - $29,000"
250304501,,,,"$15,000 - $29,000"
249849851,,,,"$15,000 - $29,000"
247649251,,,,"$39,000 - $44,000"
249073401,,,,"$39,000 - $44,000"
248046051,,,,"$15,000 - $29,000"
247791851,,,,"$15,000 - $29,000"
248870651,,,,"$15,000"
249877201,,,,"$39,000 - $44,000"
249308651,,,,"$39,000 - $44,000"
249381351,,,,"$15,000 - $29,000"
248348401,,,,"$15,000 - $29,000"
247626751,Warm,,,
247761401,,,,"$15,000 - $29,000"
250418601,,,,"$50,000 - $65,000"
249919651,,,,"$15,000 - $29,000"
248178051,,,,"$15,000 - $29,000"
248514201,,,,"$15,000 - $29,000"
250271651,Hot,,,
250358951,,,,"$15,000 - $29,000"
250410151,,,,"$39,000 - $44,000"
247695501,,,,"$50,000 - $65,000"
249934251,,,,"$15,000"
248245151,,,,"$39,000 - $44,000"
247450601,,,,"$15,000 - $29,000"
248298651,,,,"$50,000 - $65,000"
249675451,,,,"$15,000 - $29,000"
248179601,,,,"$15,000 - $29,000"
248689801,,,,"$39,000 - $44,000"
247510951,,,,"$106,000 - $140,000"
248176301,,,,"$15,000 - $29,000"
248347301,,,,"$15,000 - $29,000"
247909551,,,,"$15,000 - $29,000"
249589401,,,,"$15,000 - $29,000"
250419351,,,,"$39,000 - $44,000"
249347751,Warm,,,"$50,000 - $65,000"
249591451,,,,"$50,000 - $65,000"
247695551,,,,"$15,000 - $29,000"
248462001,,,,"$15,000"
247603901,,,,"$15,000 - $29,000"
247852101,,,,"$39,000 - $44,000"
248417101,Warm,,,
248491851,,,,"$15,000 - $29,000"
247811151,Warm,,,
247449651,,,,"$50,000 - $65,000"
248435801,,,,"$15,000 - $29,000"
249059151,,,,"$15,000 - $29,000"
249633401,,,,"$39,000 - $44,000"
250162801,,,,"$106,000 - $140,000"
248931151,Warm,,,
250310001,,,,"$39,000 - $44,000"
248534351,,,,"$39,000 - $44,000"
248067951,,,,"$39,000 - $44,000"
250399051,,,,"$15,000 - $29,000"
249247351,Warm,,,
249215351,,,,"$15,000 - $29,000"
249235051,,,,"$50,000 - $65,000"
248942951,,,,"$15,000 - $29,000"
249488751,,,,"$50,000 - $65,000"
249976151,,,,"$15,000"
249169001,,,,"$15,000 - $29,000"
250279001,Hot,,,
247724151,,,,"$39,000 - $44,000"
249134701,,,,"$39,000 - $44,000"
249211501,,,,"$39,000 - $44,000"
247572601,,,,"$15,000 - $29,000"
247508351,,,,"$15,000 - $29,000"
249423901,,,,"$15,000 - $29,000"
250415401,,,,"$15,000 - $29,000"
248180751,Cold,,,
249370651,,,,"$78,000 - $107,000"
249509401,,,,"$15,000 - $29,000"
248217601,,,,"$50,000 - $65,000"
248471301,,,,"$15,000 - $29,000"
247858701,,,,"$15,000 - $29,000"
247493651,,,,"$78,000 - $107,000"
250412601,,,,"$15,000 - $29,000"
249288451,,,,"$15,000 - $29,000"
249540101,,,,"$15,000 - $29,000"
249634051,,,,"$39,000 - $44,000"
249461051,,,,"$15,000 - $29,000"
247399001,,,,"$50,000 - $65,000"
248249901,,,,"$78,000 - $107,000"
249580551,,,,"$15,000 - $29,000"
249938701,,,,"$15,000 - $29,000"
250036751,,,,"$50,000 - $65,000"
250380551,,,,"$15,000 - $29,000"
249213751,,,,"$15,000"
250278151,,,,"$39,000 - $44,000"
247957301,,,,"$15,000"
248918051,,,,"$50,000 - $65,000"
249688601,,,,"$15,000 - $29,000"
250252051,,,,"$15,000 - $29,000"
249338151,,,,"$15,000"
247865401,,,,"$15,000 - $29,000"
250846451,,,,"$15,000 - $29,000"
252673551,,,,"$15,000 - $29,000"
252323851,,,,"$50,000 - $65,000"
252690951,,,,"$106,000 - $140,000"
254125101,,,,"$15,000 - $29,000"
251890451,,,,"$39,000 - $44,000"
252842501,,,,"$15,000 - $29,000"
253578501,,,,"$15,000 - $29,000"
253593601,,,,"$15,000"
253687101,,,,"$15,000"
253587001,,,,"$39,000 - $44,000"
252252451,,,,"$15,000"
251855151,,,,"$50,000 - $65,000"
252144951,,,,"$15,000 - $29,000"
251004101,,,,"$15,000 - $29,000"
250756551,Warm,,,
252774951,,,,"$50,000 - $65,000"
252875301,,,,"$15,000 - $29,000"
251916601,,,,"$39,000 - $44,000"
250976201,,,,"$15,000 - $29,000"
253015851,,,,"$15,000 - $29,000"
251828551,,,,"$39,000 - $44,000"
251177151,,,,"$50,000 - $65,000"
254058851,,,,"$39,000 - $44,000"
251907401,,,,"$15,000 - $29,000"
251030201,,,,"$15,000 - $29,000"
254128501,,,,"$15,000 - $29,000"
252116051,,,,"$50,000 - $65,000"
250836901,,,,"$15,000 - $29,000"
251146401,,,,"$15,000"
251201701,,,,"$15,000 - $29,000"
252812401,,,,"$15,000 - $29,000"
253475451,,,,"$50,000 - $65,000"
253138551,,,,"$15,000"
253371001,,,,"$15,000 - $29,000"
254314051,,,,"$15,000 - $29,000"
254174551,,,,"$50,000 - $65,000"
251916151,,,,"$15,000"
251805301,,,,"$15,000 - $29,000"
253975901,,,,"$15,000 - $29,000"
253742751,,,,"$39,000 - $44,000"
253868452,,,,"$39,000 - $44,000"
251058801,,,,"$15,000 - $29,000"
254199201,,,,"$39,000 - $44,000"
250740601,,,,"$39,000 - $44,000"
253429651,,,,"$15,000 - $29,000"
252664451,,,,"$39,000 - $44,000"
253628051,,,,"$15,000"
252278151,,,,"$15,000 - $29,000"
252510851,,,,"$15,000"
252693151,,,,"$15,000 - $29,000"
254106551,,,,"$39,000 - $44,000"
250997601,,,,"$39,000 - $44,000"
252066451,,,,"$50,000 - $65,000"
254147251,,,,"$15,000 - $29,000"
251530601,,,,"$15,000 - $29,000"
251680151,,,,"$15,000 - $29,000"
250811501,,,,"$15,000 - $29,000"
251207001,,,,"$50,000 - $65,000"
251255901,,,,"$39,000 - $44,000"
253153201,,,,"$15,000 - $29,000"
252688551,,,,"$15,000 - $29,000"
254249101,,,,"$15,000 - $29,000"
252400551,,,,"$15,000 - $29,000"
251313751,,,,"$50,000 - $65,000"
251022151,,,,"$15,000 - $29,000"
254156951,,,,"$15,000 - $29,000"
252054451,,,,"$15,000 - $29,000"
254007701,,,,"$39,000 - $44,000"
251022401,,,,"$39,000 - $44,000"
253783451,,,,"$15,000 - $29,000"
251682751,,,,"$15,000 - $29,000"
254025701,,,,"$39,000 - $44,000"
251321401,,,,"$15,000 - $29,000"
252202701,,,,"$15,000 - $29,000"
250918451,,,,"$15,000 - $29,000"
251020351,,,,"$39,000 - $44,000"
251136051,,,,"$39,000 - $44,000"
250866751,,,,"$15,000"
251054651,,,,"$15,000"
251812301,,,,"$15,000 - $29,000"
253194951,,,,"$15,000 - $29,000"
252858051,,,,"$39,000 - $44,000"
253521101,,,,"$15,000 - $29,000"
253847801,,,,"$15,000 - $29,000"
250876201,Warm,,,
253007051,,,,"$15,000 - $29,000"
251898851,,,,"$15,000 - $29,000"
254110151,,,,"$50,000 - $65,000"
252442351,,,,"$50,000 - $65,000"
253022451,,,,"$15,000 - $29,000"
250930201,,,,"$15,000"
253875151,,,,"$15,000"
250954501,,,,"$15,000 - $29,000"
251525901,,,,"$15,000 - $29,000"
251983351,,,,"$15,000 - $29,000"
250809351,,,,"$15,000 - $29,000"
