custentity_hs_vid,salesreadines,buyingtimeframe,buyingreason,Projected Value
21271166,,,,"$15,000"
31849951,,,,"$15,000 - $29,000"
49361101,,,,"$15,000 - $29,000"
5759507,,,,"$15,000 - $29,000"
38316801,,,,"$15,000 - $29,000"
21270025,,,,"$15,000 - $29,000"
48445101,,,,"$15,000"
42519001,,,,"$15,000 - $29,000"
19713151,,,,"$15,000 - $29,000"
22553401,,,,"$39,000 - $44,000"
49754001,,,,"$39,000 - $44,000"
29058001,,,,"$39,000 - $44,000"
43159551,,,,"$15,000 - $29,000"
26465251,,,,"$15,000 - $29,000"
31936151,,,,"$15,000 - $29,000"
49067160,,,,"$15,000 - $29,000"
41441551,,,,"$50,000 - $65,000"
25942001,,,,"$15,000 - $29,000"
27792851,,,,"$39,000 - $44,000"
41561601,,,,"$15,000 - $29,000"
20590151,,,,"$15,000 - $29,000"
21285316,,,,"$15,000 - $29,000"
13034823,,,,"$15,000"
27077151,,,,"$39,000 - $44,000"
6555873,,,,"$39,000 - $44,000"
15159151,,,,"$15,000 - $29,000"
21253577,,,,"$15,000"
21269962,,,,"$15,000 - $29,000"
41291001,Cold,,,
21253076,,,,"$15,000 - $29,000"
13036119,,,,"$39,000 - $44,000"
42793501,,,,"$15,000"
22777800,,,,"$50,000 - $65,000"
11015741,,,,"$15,000 - $29,000"
38135251,,,,"$39,000 - $44,000"
33562007,,,,"$15,000 - $29,000"
9642251,Warm,,,
13032030,,,,"$39,000 - $44,000"
13036127,,,,"$15,000 - $29,000"
15809901,,,,"$15,000 - $29,000"
37022376,,,,"$15,000 - $29,000"
6551036,,,,"$39,000 - $44,000"
15395701,,,,"$15,000 - $29,000"
16574051,,,,"$15,000 - $29,000"
27101501,,,,"$15,000 - $29,000"
33562272,,,,"$15,000 - $29,000"
14913351,,,,"$15,000 - $29,000"
45597201,,,,"$39,000 - $44,000"
22778364,,,,"$15,000 - $29,000"
36640133,,,,"$15,000 - $29,000"
21263861,,,,"$15,000 - $29,000"
33561014,,,,"$15,000"
36647064,,,,"$15,000 - $29,000"
6830801,,,,"$39,000 - $44,000"
13292401,,,,"$15,000 - $29,000"
37021578,,,,"$15,000 - $29,000"
13825901,,,,"$15,000 - $29,000"
6551205,,,,"$15,000 - $29,000"
20034551,,,,"$15,000 - $29,000"
6077851,,,,"$15,000 - $29,000"
12468601,,,,"$15,000 - $29,000"
37013491,Warm,,,
41825451,,,,"$15,000 - $29,000"
15446067,,,,"$15,000"
49064501,,,,"$15,000"
21262750,,,,"$39,000 - $44,000"
33561057,,,,"$39,000 - $44,000"
11017803,,,,"$15,000"
33119251,,,,"$39,000 - $44,000"
47128101,,,,"$39,000 - $44,000"
6541966,,,,"$15,000 - $29,000"
6548882,Warm,,,"$50,000 - $65,000"
21948351,,,,"$15,000 - $29,000"
6554256,Cold,,,
21262769,,,,"$15,000 - $29,000"
6543509,,,,"$15,000 - $29,000"
36334301,,,,"$15,000 - $29,000"
21258428,,,,"$15,000 - $29,000"
44345951,Warm,,,
54653251,,,,"$15,000 - $29,000"
53764151,,,,"$50,000 - $65,000"
57823601,,,,"$15,000"
60305051,,,,"$39,000 - $44,000"
59593351,,,,"$39,000 - $44,000"
57105001,,,,"$39,000 - $44,000"
58167151,,,,"$15,000 - $29,000"
52501051,,,,"$15,000 - $29,000"
56182851,,,,"$15,000 - $29,000"
59759251,,,,"$78,000 - $107,000"
56781951,,,,"$15,000 - $29,000"
53750551,,,,"$15,000 - $29,000"
52704001,,,,"$15,000 - $29,000"
53852701,,,,"$15,000"
57646151,,,,"$15,000 - $29,000"
50803501,,,,"$15,000 - $29,000"
57326401,,,,"$39,000 - $44,000"
49785051,,,,"$39,000 - $44,000"
58642001,,,,"$39,000 - $44,000"
59744701,,,,"$15,000"
54446601,,,,"$15,000"
57912651,,,,"$15,000 - $29,000"
57268051,,,,"$15,000 - $29,000"
55423601,,,,"$15,000 - $29,000"
57690701,,,,"$15,000 - $29,000"
58759101,,,,"$50,000 - $65,000"
59038651,,,,"$15,000"
57781301,,,,"$15,000 - $29,000"
55821851,,,,"$39,000 - $44,000"
59326401,,,,"$15,000 - $29,000"
49912501,,,,"$15,000 - $29,000"
58590001,,,,"$39,000 - $44,000"
56716851,,,,"$15,000 - $29,000"
60493001,,,,"$39,000 - $44,000"
53764451,,,,"$39,000 - $44,000"
53802601,,,,"$39,000 - $44,000"
58503201,,,,"$39,000 - $44,000"
54577951,,,,"$15,000 - $29,000"
56609851,,,,"$15,000"
50007701,,,,"$15,000 - $29,000"
53315651,,,,"$39,000 - $44,000"
53807451,,,,"$15,000 - $29,000"
55818301,,,,"$15,000 - $29,000"
60273401,,,,"$39,000 - $44,000"
49920651,,,,"$15,000 - $29,000"
57223451,,,,"$39,000 - $44,000"
57517851,,,,"$39,000 - $44,000"
54448201,,,,"$50,000 - $65,000"
53626701,,,,"$50,000 - $65,000"
59980051,,,,"$39,000 - $44,000"
58342907,,,,"$15,000 - $29,000"
57468651,,,,"$39,000 - $44,000"
58792201,Warm,,,
57463801,,,,"$39,000 - $44,000"
57570801,,,,"$15,000 - $29,000"
55866101,,,,"$15,000 - $29,000"
50919851,,,,"$39,000 - $44,000"
58927151,,,,"$15,000 - $29,000"
60418101,,,,"$15,000 - $29,000"
54730478,,,,"$15,000 - $29,000"
58557651,,,,"$15,000 - $29,000"
57111251,,,,"$15,000 - $29,000"
59927851,,,,"$15,000 - $29,000"
60314401,,,,"$15,000 - $29,000"
49786701,,,,"$78,000 - $107,000"
60015401,,,,"$15,000 - $29,000"
60281901,Cold,,,
56242401,,,,"$39,000 - $44,000"
56268001,,,,"$15,000 - $29,000"
55892201,,,,"$15,000 - $29,000"
56784351,,,,"$15,000 - $29,000"
60169301,,,,"$15,000 - $29,000"
58622651,,,,"$15,000 - $29,000"
58454451,,,,"$15,000 - $29,000"
55010701,,,,"$39,000 - $44,000"
57692858,Hot,,,"$39,000 - $44,000"
60147551,,,,"$39,000 - $44,000"
53783801,,,,"$15,000 - $29,000"
57238951,,,,"$15,000 - $29,000"
50732501,,,,"$15,000 - $29,000"
51359451,,,,"$15,000 - $29,000"
52885501,,,,"$15,000 - $29,000"
56120451,,,,"$15,000 - $29,000"
53197301,,,,"$15,000 - $29,000"
53717201,,,,"$15,000 - $29,000"
53973201,,,,"$15,000 - $29,000"
60268401,Warm,,,
59914101,,,,"$78,000 - $107,000"
54062551,,,,"$15,000 - $29,000"
57529501,,,,"$39,000 - $44,000"
58321801,,,,"$39,000 - $44,000"
59414651,,,,"$15,000 - $29,000"
50297101,,,,"$50,000 - $65,000"
57143701,,,,"$15,000 - $29,000"
60347501,,,,"$39,000 - $44,000"
58847351,,,,"$15,000 - $29,000"
56791701,,,,"$39,000 - $44,000"
54280901,,,,"$15,000"
54099651,,,,"$15,000 - $29,000"
58913151,,,,"$15,000 - $29,000"
60503451,,,,"$15,000 - $29,000"
63078851,,,,"$39,000 - $44,000"
64923101,,,,"$15,000 - $29,000"
61247395,,,,"$15,000 - $29,000"
63133651,,,,"$15,000 - $29,000"
65437951,,,,"$39,000 - $44,000"
64599751,,,,"$39,000 - $44,000"
65084101,,,,"$15,000 - $29,000"
63480301,,,,"$15,000"
62756251,,,,"$15,000 - $29,000"
60841101,,,,"$15,000 - $29,000"
64577001,,,,"$15,000"
65337301,,,,"$15,000 - $29,000"
65326551,,,,"$39,000 - $44,000"
61318801,,,,"$39,000 - $44,000"
61270175,,,,"$50,000 - $65,000"
63217401,,,,"$39,000 - $44,000"
62253301,,,,"$15,000 - $29,000"
63806601,,,,"$15,000 - $29,000"
62332401,,,,"$15,000 - $29,000"
65469601,,,,"$15,000 - $29,000"
61663201,,,,"$39,000 - $44,000"
62769901,,,,"$39,000 - $44,000"
62810351,,,,"$39,000 - $44,000"
65178801,,,,"$15,000 - $29,000"
61995751,,,,"$39,000 - $44,000"
61160701,,,,"$39,000 - $44,000"
61387251,,,,"$15,000"
63571601,,,,"$39,000 - $44,000"
64344201,,,,"$15,000 - $29,000"
60943102,,,,"$15,000 - $29,000"
60591101,,,,"$39,000 - $44,000"
61497801,,,,"$39,000 - $44,000"
61020101,,,,"$15,000 - $29,000"
63996601,,,,"$15,000 - $29,000"
65344151,,,,"$15,000 - $29,000"
65781401,,,,"$15,000 - $29,000"
61499101,,,,"$15,000 - $29,000"
61029851,,,,"$15,000"
60692451,,,,"$15,000 - $29,000"
65764201,,,,"$15,000 - $29,000"
61208352,,,,"$15,000 - $29,000"
61246497,,,,"$50,000 - $65,000"
60679701,,,,"$39,000 - $44,000"
63683651,,,,"$15,000 - $29,000"
61173551,,,,"$15,000 - $29,000"
61693501,,,,"$39,000 - $44,000"
64440901,Warm,,,
64828751,Warm,,,
60500751,,,,"$39,000 - $44,000"
64939851,,,,"$15,000 - $29,000"
62229801,,,,"$39,000 - $44,000"
64009551,,,,"$39,000 - $44,000"
61032451,,,,"$15,000 - $29,000"
63340901,,,,"$15,000"
61667851,,,,"$15,000 - $29,000"
62397201,Warm,,,
61147151,,,,"$15,000"
62015001,,,,"$15,000 - $29,000"
62239001,,,,"$15,000 - $29,000"
65761351,,,,"$15,000 - $29,000"
60699951,,,,"$15,000"
60831251,,,,"$39,000 - $44,000"
60604201,,,,"$50,000 - $65,000"
61799451,,,,"$39,000 - $44,000"
64675951,,,,"$15,000 - $29,000"
64712301,,,,"$39,000 - $44,000"
62000651,,,,"$39,000 - $44,000"
62973051,,,,"$15,000 - $29,000"
61257498,,,,"$15,000 - $29,000"
63982701,,,,"$15,000 - $29,000"
60567901,,,,"$39,000 - $44,000"
62772351,,,,"$39,000 - $44,000"
65528101,,,,"$15,000"
62702201,,,,"$15,000 - $29,000"
63867401,,,,"$15,000 - $29,000"
64720401,,,,"$39,000 - $44,000"
61224301,,,,"$39,000 - $44,000"
61758051,,,,"$39,000 - $44,000"
62674801,,,,"$15,000 - $29,000"
65211701,,,,"$15,000 - $29,000"
64266252,,,,"$15,000 - $29,000"
64878851,,,,"$39,000 - $44,000"
61807951,,,,"$39,000 - $44,000"
